Dist	Angle

0.6712	23.8344
0.0000	1.6560
0.1684	0.4175
1.2024	0.7793
0.2972	1.7425
2.4380	73.6070
1.8436	90.0000
2.0180	-46.8937
5.7120	-15.1110
0.0000	-17.8884
0.1272	-51.7148
8.1468	-9.1938
0.0000	-19.2907
0.0848	-56.8384
3.3464	9.3767
0.0000	2.6086
0.1700	1.1116
0.0000	1.1797
2.7132	-11.4233
0.0000	-8.6894
0.0000	-8.6896
0.0000	-18.4354
0.0000	-63.8270
2.3532	14.6228
2.1720	90.0000
2.5358	51.0198
0.2412	24.4145
0.5817	80.1519
0.2607	8.4197
0.0000	2.5625
0.6498	77.7648
1.0392	-17.4386
0.0648	-54.3954
0.0000	3.0718
4.2846	-9.2071
0.0000	-9.3551
0.0000	-14.9028
0.0000	-42.5955
1.1760	80.8494
0.3873	23.2831
0.0000	2.4360
0.0000	2.3235
0.0000	2.2613
0.0000	2.2643
0.0000	2.3229
0.0000	2.4294
0.0000	68.3330
