Dist	Angle

5.1579	48.9847
0.0000	1.1033
0.0000	1.3006
0.0000	96.1819
7.3806	4.5621	68.1525
10.5877	0.0000	97.0516
8.4399	5.0274	90.0000
12.8531	1.9863	58.5992
16.0167	0.0000	94.6688
22.7392	3.3093	90.0000
28.4718	2.7891	73.0964
31.6325	0.0000	97.4982
41.7661	6.6492	-74.4749
46.1224	1.9053	-59.8530
51.7245	0.0000	-175.0386
52.3591	0.0000	9.6403
8.7545	2.1954	90.0000
16.2807	2.5512	62.4486
21.4000	0.1308	99.5465
29.4792	4.3242	-9.1319
30.3436	0.0000	-11.5621
32.0207	0.0000	-26.4756
36.0373	0.0654	-78.9244
48.0602	5.1756	65.5323
53.2912	1.0482	69.1094
58.7512	0.3930	96.8449
69.5624	4.9140	-46.8905
72.0960	0.0654	-45.0357
80.2078	0.0000	-175.7213
81.0822	0.0000	12.4648
82.0641	0.0000	13.1640
83.1294	0.0000	16.6152
85.4500	0.1968	34.3621
90.3257	0.0000	102.5226
94.7982	0.5892	-166.5172
